GAME_DATE,MATCHUP
2022-03-31,CHI vs. LAC
2022-04-02,CHI vs. MIA
2022-04-05,CHI vs. MIL
2022-04-06,CHI vs. BOS
2022-04-08,CHI vs. CHA
2022-10-22,CHI vs. CLE
2022-10-24,CHI vs. BOS
2022-10-26,CHI vs. IND
2022-10-29,CHI vs. PHI
2022-11-02,CHI vs. CHA
2022-11-07,CHI vs. TOR
2022-11-09,CHI vs. NOP
2022-11-13,CHI vs. DEN
2022-11-18,CHI vs. ORL
2022-11-21,CHI vs. BOS
2022-12-07,CHI vs. WAS
2022-12-10,CHI vs. DAL
2022-12-14,CHI vs. NYK
2022-12-16,CHI vs. NYK
2022-12-26,CHI vs. HOU
2022-12-28,CHI vs. MIL
2022-12-30,CHI vs. DET
2022-12-31,CHI vs. CLE
2023-01-04,CHI vs. BKN
2023-01-07,CHI vs. UTA
2023-01-13,CHI vs. OKC
2023-01-15,CHI vs. GSW
2023-01-23,CHI vs. ATL
2023-01-31,CHI vs. LAC
2023-02-02,CHI vs. CHA
2023-02-04,CHI vs. POR
2023-02-06,CHI vs. SAS
2023-02-13,CHI vs. ORL
2023-02-16,CHI vs. MIL
2023-02-24,CHI vs. BKN
2023-02-26,CHI vs. WAS
2023-03-03,CHI vs. PHX
2023-03-05,CHI vs. IND
2023-03-15,CHI vs. SAC
2023-03-17,CHI vs. MIN
2023-03-18,CHI vs. MIA
2023-03-22,CHI vs. PHI
2023-03-29,CHI vs. LAL
2023-04-02,CHI vs. MEM
2023-04-04,CHI vs. ATL
2023-04-09,CHI vs. DET
2023-10-25,CHI vs. OKC
2023-10-27,CHI vs. TOR
2023-11-03,CHI vs. BKN
2023-11-06,CHI vs. UTA
2023-11-08,CHI vs. PHX
2023-11-12,CHI vs. DET
2023-11-15,CHI vs. ORL
2023-11-17,CHI vs. ORL
2023-11-18,CHI vs. MIA
2023-11-20,CHI vs. MIA
2023-11-30,CHI vs. MIL
2023-12-02,CHI vs. NOP
2023-12-06,CHI vs. CHA
2023-12-12,CHI vs. DEN
2023-12-20,CHI vs. LAL
2023-12-21,CHI vs. SAS
2023-12-23,CHI vs. CLE
2023-12-26,CHI vs. ATL
2023-12-28,CHI vs. IND
2023-12-30,CHI vs. PHI
2024-01-05,CHI vs. CHA
2024-01-10,CHI vs. HOU
2024-01-12,CHI vs. GSW
2024-01-20,CHI vs. MEM
2024-01-30,CHI vs. TOR
2024-02-03,CHI vs. SAC
2024-02-06,CHI vs. MIN
2024-02-22,CHI vs. BOS
2024-02-27,CHI vs. DET
2024-02-28,CHI vs. CLE
2024-03-01,CHI vs. MIL
2024-03-11,CHI vs. DAL
2024-03-14,CHI vs. LAC
2024-03-16,CHI vs. WAS
2024-03-18,CHI vs. POR
2024-03-23,CHI vs. BOS
2024-03-25,CHI vs. WAS
2024-03-27,CHI vs. IND
2024-04-01,CHI vs. ATL
2024-04-05,CHI vs. NYK
2024-04-09,CHI vs. NYK
2024-10-26,CHI vs. OKC
2024-10-30,CHI vs. ORL
2024-11-04,CHI vs. UTA
2024-11-07,CHI vs. MIN
2024-11-11,CHI vs. CLE
2024-11-17,CHI vs. HOU
2024-11-22,CHI vs. ATL
2024-11-23,CHI vs. MEM
2024-11-29,CHI vs. BOS
2024-12-02,CHI vs. BKN
